opTime,tradeValue
0.0,334.699999619
0.5,247.754999733
1.0,260.080000381
1.5,215.934999619
2.0,195.169999847
2.5,196.795000381
3.0,208.085
3.5,192.074999313
4.0,201.519999161
4.5,184.159999695
5.0,180.879999237
5.5,176.575000839
6.0,185.575000381
6.5,184.980000076
7.0,173.050000381
7.5,175.004999924
8.0,180.314999542
8.5,184.085000687
9.0,181.929999924
9.5,190.844999084
10.0,171.630000458
10.5,166.930000019
11.0,163.804999161
11.5,170.00499939
12.0,149.434999542
12.5,149.649999771
13.0,137.80999939
13.5,140.895000763
14.0,138.310000763
14.5,139.839999084
15.0,140.059999847
15.5,138.784999771
16.0,145.129999771
16.5,126.814999695
17.0,127.599999237
17.5,127.990000839
18.0,136.295000229
18.5,136.614999847
19.0,124.245000687
19.5,127.424999695
20.0,121.944999619
20.5,119.744999619
21.0,110.010000687
21.5,121.424999619
22.0,110.024999237
22.5,117.425000305
23.0,112.385000381
23.5,118.000000534
24.0,116.910000458
24.5,119.919999847
25.0,112.324999847
25.5,111.419999237
26.0,104.074999695
26.5,103.175000763
27.0,106.580000916
27.5,109.455000534
28.0,104.845000076
28.5,101.280000153
29.0,107.049999619
29.5,105.849999695
30.0,108.485000229
30.5,102.389999237
31.0,102.75
31.5,95.9199990845
32.0,90.4299991608
32.5,94.6550005341
33.0,93.33
33.5,90.1400004578
34.0,96.8799999237
34.5,93.5949991608
35.0,94.4850006866
35.5,89.7300008392
36.0,98.2900004578
36.5,92.8249994659
37.0,97.6249999237
37.5,90.4799993896
38.0,89.4749999237
38.5,97.7950008392
39.0,97.1050008392
39.5,94.3299997711
40.0,97.3300003815
40.5,94.6499999237
41.0,94.5200006104
41.5,98.6699981689
42.0,80.5700002289
42.5,81.125
43.0,87.4550008392
43.5,88.8999990845
44.0,87.8849996948
44.5,88.6050009155
45.0,80.6949996185
45.5,82.7550006866
46.0,85.2049992371
46.5,87.5200009155
47.0,84.1050001526
47.5,85.9749994659
48.0,81.7900003815
48.5,87.1099992371
49.0,84.1599993896
49.5,84.2949998474
50.0,88.6400004578
50.5,81.6950008392
51.0,80.1850008392
51.5,83.7499996948
52.0,80.1950002289
52.5,84.4000003052
53.0,81.9900004578
53.5,74.4799996185
54.0,78.6349993896
54.5,79.7099991608
55.0,73.1599995422
55.5,79.8449991608
56.0,76.0399999237
56.5,73.8150006866
57.0,72.8750002289
57.5,74.6999992371
58.0,79.5600000763
58.5,76.0349992371
59.0,76.0199991608
59.5,78.2999998474
60.0,73.7400003815
60.5,73.6200001526
61.0,73.1499996185
61.5,75.0099993896
62.0,78.3300008392
62.5,73.7900003052
63.0,77.9649995422
63.5,67.9849997711
64.0,65.1950008392
64.5,71.3700006866
65.0,68.8249993896
65.5,64.9300006104
66.0,64.1800001526
66.5,68.4250004578
67.0,65.4299990845
67.5,66.3399990845
68.0,67.2550006866
68.5,69.7899996185
69.0,69.145
69.5,65.6350000763
70.0,66.9650000763
70.5,67.9999995422
71.0,66.4549993134
71.5,67.4600002289
72.0,67.4850001526
72.5,66.3700004578
73.0,68.8449990845
73.5,58.9650000381
74.0,58.4049998474
74.5,62.2350008392
75.0,63.6250000763
75.5,59.6550007629
76.0,57.9050009155
76.5,63.8599999237
77.0,58.865
77.5,62.3449998474
78.0,61.8700006866
78.5,60.75
79.0,57.1599991608
79.5,57.7499996948
80.0,62.9700000763
80.5,60.0500004578
81.0,60.0399999237
81.5,60.4150005341
82.0,60.7999997711
82.5,63.7200002289
83.0,57.3700008392
83.5,57.4500001526
84.0,59.1450003052
84.5,63.9599993134
85.0,62.8599992371
85.5,57.095
86.0,56.5850001526
86.5,54.055
87.0,55.2900007629
87.5,53.7100002289
88.0,53.21
88.5,56.0249995422
89.0,54.2900003052
89.5,51.4000000763
90.0,53.3100004578
90.5,52.1799993134
91.0,52.4350004578
91.5,53.92
92.0,55.4449992371
92.5,54.6300009155
93.0,55.8250002289
93.5,51.0400003815
94.0,55.7449995422
94.5,50.7950005341
95.0,48.7599997711
95.5,45.7299998474
96.0,45.8999990845
96.5,46.2199995422
97.0,47.9049995422
97.5,50.2850002289
98.0,50.9050005341
98.5,45.6999990845
99.0,50.0150005341
99.5,47.2050007629
100.0,48.7799994659
100.5,50.3449993134
101.0,45.5250003052
101.5,46.6900001526
102.0,50.02
102.5,45.0849997711
103.0,46.4500001526
103.5,50.5849991608
104.0,46.3149993134
104.5,48.5450008392
105.0,46.8500003052
105.5,48.3300006104
106.0,47.1199995422
106.5,49.2099990845
107.0,50.1750004578
107.5,44.1699996948
108.0,41.5800006866
108.5,42.4649993896
109.0,40.315
109.5,40.2800006104
110.0,43.7649990845
110.5,40.1849994659
111.0,43.1749997711
111.5,44.1649990845
112.0,44.7850007629
112.5,42.8949992371
113.0,44.1300006104
113.5,42.2499995422
114.0,41.8750006104
114.5,41.5700008392
115.0,41.0450000763
115.5,43.1350007629
116.0,40.8999991608
116.5,43.9950003815
117.0,40.4949990845
117.5,43.7899996185
118.0,42.4349996185
118.5,44.4299998474
119.0,40.0149993134
119.5,42.1650002289
120.0,43.1500000763
120.5,41.5700006866
121.0,42.6850018311
121.5,37.5250004578
122.0,39.0650003815
122.5,37.5349996185
123.0,36.2100008392
123.5,39.4149996185
124.0,36.6200002289
124.5,36.1900007629
125.0,39.9200006866
125.5,36.8200002289
126.0,36.1749993896
126.5,36.545
127.0,36.4749999237
127.5,38.4700002289
128.0,38.1949997711
128.5,36.3400001526
129.0,37.1850006866
129.5,37.2400004578
130.0,36.0150009155
130.5,39.9949996948
131.0,36.71
131.5,38.7299996948
132.0,39.54
132.5,36.9350003052
133.0,37.8200018311
133.5,35.35
134.0,35.1500008392
134.5,35.9549994659
135.0,34.4999999237
135.5,33.0050009155
136.0,35.9250004578
136.5,34.7699996948
137.0,34.0700001526
137.5,35.9100008392
138.0,33.2249996948
138.5,34.6649994659
139.0,33.4999998474
139.5,34.3399991608
140.0,34.5849996948
140.5,34.5599996185
141.0,32.2599991608
141.5,33.9449998474
142.0,33.07
142.5,35.2750000763
143.0,35.0250004578
143.5,33.6949999237
144.0,32.7500009155
144.5,33.9499993134
145.0,35.0200003815
145.5,32.4899993896
146.0,35.1250005341
146.5,35.7749992371
147.0,32.7449993134
147.5,29.4850004578
148.0,30.3450009155
148.5,29.5400008392
149.0,31.8700009155
149.5,28.9800005341
150.0,31.1799999237
150.5,28.5750006866
151.0,28.9950000763
151.5,28.0550003815
152.0,28.3999998474
152.5,31.6150008392
153.0,28.1050000763
153.5,30.4449997711
154.0,28.1200003815
154.5,30.4850006866
155.0,30.3100003052
155.5,31.2899998474
156.0,30.2850007629
156.5,29.2200006104
157.0,28.4149995422
157.5,28.5149995422
158.0,28.7499999237
158.5,28.0399991608
159.0,31.5699995422
159.5,28.8300004578
160.0,31.9300009155
160.5,25.4250003052
161.0,25.0599999237
161.5,26.9599998474
162.0,27.5500003815
162.5,27.8949996948
163.0,25.2650007629
163.5,26.4550007629
164.0,26.3300007629
164.5,26.5750000763
165.0,27.6300006866
165.5,26.9999999237
166.0,26.5250004578
166.5,25.6750008392
167.0,27.7150000763
167.5,25.6699998474
168.0,25.7399998474
168.5,26.6099996948
169.0,25.6050006866
169.5,25.5549995422
170.0,25.5549995422
170.5,25.5049992371
171.0,26.5549995422
171.5,26.5050003052
172.0,25.2099996185
172.5,25.2099996185
173.0,26.3299995422
173.5,26.8800001526
174.0,26.9449992371
174.5,25.9600006866
175.0,27.0550006866
175.5,26.0699995422
176.0,27.6349991608
176.5,27.5600006866
177.0,25.6300013733
177.5,27.6150007629
178.0,25.6899984741
178.5,24.685
179.0,23.3050000763
179.5,22.5349998474
180.0,22.6049993896
180.5,22.4600009155
181.0,22.6399993134
181.5,24.9349999237
182.0,23.7349996185
182.5,23.5500001526
183.0,24.8399991608
183.5,23.7500007629
184.0,23.4749996948
184.5,24.8349993896
185.0,24.5850002289
185.5,22.9999995422
186.0,23.9949998474
186.5,23.6850004578
187.0,24.3900001526
187.5,23.8799990845
188.0,24.7150005341
188.5,23.1149998474
189.0,23.1649989319
189.5,24.1799996948
190.0,19.2300009155
190.5,21.7949990845
191.0,20.9499994659
191.5,20.3999996185
192.0,20.3899994659
192.5,19.6000007629
193.0,20.3449990845
193.5,20.7649991608
194.0,20.2499997711
194.5,19.0000002289
195.0,20.1899992371
195.5,21.8500006866
196.0,20.9649991608
196.5,20.3000004578
197.0,20.0699991608
197.5,20.3150000763
198.0,20.6
198.5,20.3249992371
199.0,21.8099990845
199.5,19.8049989319
200.0,19.7200018311
200.5,18.5899993134
201.0,17.1899994659
201.5,17.3350001526
202.0,17.9849994659
202.5,17.2000009155
203.0,17.2850003815
203.5,17.0950004578
204.0,18.4150001526
204.5,18.4450005341
205.0,17.4949993134
205.5,18.5350003815
206.0,17.2849998474
206.5,17.0149998474
207.0,17.5050003052
207.5,17.5600008392
208.0,17.1649997711
208.5,18.6250003815
209.0,18.0499996948
209.5,18.6699989319
210.0,17.6749995422
210.5,18.7750015259
211.0,18.1600007629
211.5,17.7249992371
212.0,17.8199995422
212.5,16.8550006866
213.0,15.3149992371
213.5,15.73
214.0,16.1599992371
214.5,15.9500003815
215.0,15.7199996185
215.5,16.5699991608
216.0,15.2500007629
216.5,15.1400007629
217.0,15.9300005341
217.5,16.1199996948
218.0,16.9699992371
218.5,16.7649998474
219.0,15.2899993896
219.5,13.9950004578
220.0,14.7750006866
220.5,14.3800003815
221.0,14.7600004578
221.5,13.3799995422
222.0,13.1849996948
222.5,13.0900009155
223.0,13.8800006866
223.5,14.9550009155
224.0,13.0200008392
224.5,14.5850002289
225.0,13.3999998474
225.5,14.0399993134
226.0,13.6049997711
226.5,13.4250003052
227.0,13.7549998474
227.5,13.5399998474
228.0,14.9349981689
228.5,14.2649990845
229.0,14.2649990845
229.5,14.115
230.0,14.7299989319
230.5,13.615
231.0,11.6649996185
231.5,12.3049995422
232.0,11.9199993896
232.5,11.9649990845
233.0,12.9100001526
233.5,11.3849991608
234.0,12.3499994659
234.5,12.5450004578
235.0,12.7199996948
235.5,11.7950004578
236.0,12.8700001526
236.5,12.2950002289
237.0,12.2099995422
237.5,12.6549991608
238.0,11.1099996948
238.5,12.7700009155
239.0,11.1549993896
239.5,12.5800003052
240.0,12.0000018311
240.5,12.0000018311
241.0,12.0849992371
241.5,12.14
242.0,12.5799986267
242.5,11.0950018311
243.0,11.6650015259
